customer_id,recency,frequency,monetary,R,F,M,RFM,segment
C00062,18,14,12954.38,4,2,2,8,Potential Loyalists
C00063,52,15,15733.71,2,3,3,8,Potential Loyalists
C00064,14,19,19831.48,4,5,4,13,Champions
C00065,83,13,17746.79,2,2,4,8,Potential Loyalists
C00066,60,20,28533.61,2,5,5,12,Loyal Customers
C00067,11,15,19624.39,5,3,4,12,Loyal Customers
C00068,155,15,12659.32,1,3,2,6,At Risk
C00069,32,17,19136.42,3,4,4,11,Loyal Customers
C00070,0,16,22810.17,5,3,5,13,Champions
C00071,32,9,10542.08,3,1,1,5,At Risk
C00072,1,22,24432.96,5,5,5,15,Champions
C00073,42,19,28208.54,3,5,5,13,Champions
C00074,2,13,12116.63,5,2,2,9,Potential Loyalists
C00075,94,12,9808.85,1,1,1,3,Hibernating
C00076,101,13,12055.36,1,2,2,5,At Risk
C00077,309,11,9295.56,1,1,1,3,Hibernating
C00078,21,7,4183.18,4,1,1,6,At Risk
C00079,115,21,19536.25,1,5,4,10,Loyal Customers
C00080,30,15,21131.42,3,3,5,11,Loyal Customers
C00081,4,18,21730.559999999998,5,4,5,14,Champions
C00082,95,11,11703.14,1,1,2,4,Hibernating
C00083,59,16,14481.37,2,3,3,8,Potential Loyalists
C00084,1,22,22139.98,5,5,5,15,Champions
C00085,113,17,17431.24,1,4,4,9,Potential Loyalists
C00086,120,19,25499.95,1,5,5,11,Loyal Customers
C00087,173,17,22754.21,1,4,5,10,Loyal Customers
C00088,188,10,11731.17,1,1,2,4,Hibernating
C00089,260,9,6970.94,1,1,1,3,Hibernating
C00090,277,12,12531.42,1,1,2,4,Hibernating
C00091,206,14,16389.43,1,2,3,6,At Risk
C00092,113,17,20539.420000000002,1,4,5,10,Loyal Customers
C00093,18,14,12342.09,4,2,2,8,Potential Loyalists
C00094,74,20,21404.28,2,5,5,12,Loyal Customers
C00095,119,14,13973.07,1,2,2,5,At Risk
C00096,8,14,13197.83,5,2,2,9,Potential Loyalists
C00097,110,14,15853.119999999999,1,2,3,6,At Risk
C00098,90,13,17694.96,2,2,4,8,Potential Loyalists
C00099,31,14,16732.829999999998,3,2,3,8,Potential Loyalists
C00100,81,16,15175.57,2,3,3,8,Potential Loyalists
C00101,81,17,16921.81,2,4,3,9,Potential Loyalists
C00102,6,17,20355.99,5,4,4,13,Champions
C00103,33,18,13755.32,3,4,2,9,Potential Loyalists
C00104,55,12,14199.53,2,1,2,5,At Risk
C00105,55,16,11599.92,2,3,2,7,Potential Loyalists
C00106,3,15,14326.63,5,3,2,10,Loyal Customers
C00107,5,13,14939.210000000001,5,2,3,10,Loyal Customers
C00108,26,15,17248.42,3,3,4,10,Loyal Customers
C00109,8,7,8957.52,5,1,1,7,Potential Loyalists
C00110,48,18,19830.65,2,4,4,10,Loyal Customers
C00111,34,19,16833.44,3,5,3,11,Loyal Customers
C00112,28,19,15886.16,3,5,3,11,Loyal Customers
C00113,8,12,14543.96,5,1,3,9,Potential Loyalists
C00114,24,14,16736.5,4,2,3,9,Potential Loyalists
C00115,17,12,9966.25,4,1,1,6,At Risk
C00116,141,7,7135.51,1,1,1,3,Hibernating
C00117,12,14,17872.96,4,2,4,10,Loyal Customers
C00118,25,10,13810.89,4,1,2,7,Potential Loyalists
C00119,44,20,25829.98,3,5,5,13,Champions
C00120,2,15,17284.25,5,3,4,12,Loyal Customers
C00121,57,15,18126.31,2,3,4,9,Potential Loyalists
C00122,12,7,7134.37,4,1,1,6,At Risk
C00123,21,14,15690.79,4,2,3,9,Potential Loyalists
C00124,9,19,29847.58,5,5,5,15,Champions
C00125,61,20,22326.07,2,5,5,12,Loyal Customers
C00126,47,13,13727.75,3,2,2,7,Potential Loyalists
C00127,9,10,17940.2,5,1,4,10,Loyal Customers
C00128,156,17,17196.46,1,4,4,9,Potential Loyalists
C00129,10,15,16256.37,5,3,3,11,Loyal Customers
C00130,46,18,25956.84,3,4,5,12,Loyal Customers
C00131,32,13,12058.02,3,2,2,7,Potential Loyalists
C00132,194,14,14205.35,1,2,2,5,At Risk
C00133,44,13,12986.44,3,2,2,7,Potential Loyalists
C00134,61,8,6764.69,2,1,1,4,Hibernating
C00135,47,11,14128.35,3,1,2,6,At Risk
C00136,60,9,9918.86,2,1,1,4,Hibernating
C00137,27,22,20628.47,3,5,5,13,Champions
C00138,29,15,18252.18,3,3,4,10,Loyal Customers
C00139,38,15,15277.08,3,3,3,9,Potential Loyalists
C00140,38,19,21966.37,3,5,5,13,Champions
C00141,53,13,12848.58,2,2,2,6,At Risk
C00142,12,20,22436.93,4,5,5,14,Champions
C00143,120,10,11872.21,1,1,2,4,Hibernating
C00144,45,20,16711.93,3,5,3,11,Loyal Customers
C00145,100,20,28300.100000000002,1,5,5,11,Loyal Customers
C00146,19,17,20606.02,4,4,5,13,Champions
C00147,115,11,9964.64,1,1,1,3,Hibernating
C00148,10,17,18191.329999999998,5,4,4,13,Champions
C00149,202,6,5052.610000000001,1,1,1,3,Hibernating
C00150,135,11,15070.06,1,1,3,5,At Risk
C00151,17,12,11407.630000000001,4,1,1,6,At Risk
C00152,2,23,26913.89,5,5,5,15,Champions
C00153,68,20,29432.850000000002,2,5,5,12,Loyal Customers
C00154,128,17,23006.02,1,4,5,10,Loyal Customers
C00155,30,14,22887.03,3,2,5,10,Loyal Customers
C00156,8,12,18117.51,5,1,4,10,Loyal Customers
C00157,172,11,9744.01,1,1,1,3,Hibernating
C00158,85,12,14971.77,2,1,3,6,At Risk
C00159,4,12,15371.11,5,1,3,9,Potential Loyalists
C00160,224,8,8843.3,1,1,1,3,Hibernating
C00161,55,13,12210.9,2,2,2,6,At Risk
C00162,103,12,7551.9400000000005,1,1,1,3,Hibernating
C00163,48,20,17439.170000000002,2,5,4,11,Loyal Customers
C00164,21,12,10444.75,4,1,1,6,At Risk
C00165,15,22,19077.89,4,5,4,13,Champions
C00166,18,13,16248.79,4,2,3,9,Potential Loyalists
C00167,23,18,29687.52,4,4,5,13,Champions
C00168,174,12,8788.92,1,1,1,3,Hibernating
C00169,38,14,13418.65,3,2,2,7,Potential Loyalists
C00170,103,14,11493.9,1,2,1,4,Hibernating
C00171,6,19,13686.29,5,5,2,12,Loyal Customers
C00172,201,13,16445.92,1,2,3,6,At Risk
C00173,39,20,23699.64,3,5,5,13,Champions
C00174,61,18,20029.35,2,4,4,10,Loyal Customers
C00175,60,19,15357.72,2,5,3,10,Loyal Customers
C00176,23,16,19370.52,4,3,4,11,Loyal Customers
C00177,23,19,21582.89,4,5,5,14,Champions
C00178,5,20,21244.58,5,5,5,15,Champions
C00179,35,16,20289.27,3,3,4,10,Loyal Customers
C00180,51,18,17905.21,2,4,4,10,Loyal Customers
C00181,57,17,17191.92,2,4,4,10,Loyal Customers
C00182,47,11,11538.44,3,1,1,5,At Risk
C00183,17,15,14696.84,4,3,3,10,Loyal Customers
C00184,94,14,13395.84,1,2,2,5,At Risk
C00185,70,21,18092.81,2,5,4,11,Loyal Customers
C00186,29,14,12618.88,3,2,2,7,Potential Loyalists
C00187,18,12,18590.8,4,1,4,9,Potential Loyalists
C00188,17,18,25095.280000000002,4,4,5,13,Champions
C00189,24,13,12691.14,4,2,2,8,Potential Loyalists
C00190,44,14,18906.91,3,2,4,9,Potential Loyalists
C00191,46,11,7894.5,3,1,1,5,At Risk
C00192,24,10,6723.36,4,1,1,6,At Risk
C00193,120,17,15744.1,1,4,3,8,Potential Loyalists
C00194,76,15,11811.29,2,3,2,7,Potential Loyalists
C00195,42,24,25430.54,3,5,5,13,Champions
C00196,1,16,20482.420000000002,5,3,5,13,Champions
C00197,15,17,21659.38,4,4,5,13,Champions
C00198,53,13,10235.1,2,2,1,5,At Risk
C00199,43,18,20285.15,3,4,4,11,Loyal Customers
C00200,75,12,12744.79,2,1,2,5,At Risk
C00201,4,22,20172.18,5,5,4,14,Champions
C00202,23,11,11819.43,4,1,2,7,Potential Loyalists
C00203,62,16,16306.23,2,3,3,8,Potential Loyalists
C00204,75,16,14146.16,2,3,2,7,Potential Loyalists
C00205,104,11,10110.380000000001,1,1,1,3,Hibernating
C00206,5,20,24859.620000000003,5,5,5,15,Champions
C00207,15,18,18540.72,4,4,4,12,Loyal Customers
C00208,359,11,13669.6,1,1,2,4,Hibernating
C00209,429,10,11227.630000000001,1,1,1,3,Hibernating
C00210,99,17,20990.24,1,4,5,10,Loyal Customers
C00211,6,19,27798.15,5,5,5,15,Champions
C00212,34,24,19753.16,3,5,4,12,Loyal Customers
C00213,21,23,23735.66,4,5,5,14,Champions
C00214,17,14,11943.99,4,2,2,8,Potential Loyalists
C00215,12,18,22620.69,4,4,5,13,Champions
C00216,15,12,15082.85,4,1,3,8,Potential Loyalists
C00217,29,10,6664.93,3,1,1,5,At Risk
C00218,84,15,15837.72,2,3,3,8,Potential Loyalists
C00219,30,13,16241.49,3,2,3,8,Potential Loyalists
C00220,26,23,35393.26,3,5,5,13,Champions
C00221,6,22,20393.7,5,5,4,14,Champions
C00222,25,13,15599.02,4,2,3,9,Potential Loyalists
C00223,17,20,23924.64,4,5,5,14,Champions
C00224,29,15,15278.74,3,3,3,9,Potential Loyalists
C00225,14,18,17623.22,4,4,4,12,Loyal Customers
C00226,40,16,17737.65,3,3,4,10,Loyal Customers
C00227,5,15,19332.54,5,3,4,12,Loyal Customers
C00228,24,20,21175.25,4,5,5,14,Champions
C00229,37,16,15943.75,3,3,3,9,Potential Loyalists
C00230,70,14,18355.329999999998,2,2,4,8,Potential Loyalists
C00231,98,16,16517.46,1,3,3,7,Potential Loyalists
C00232,9,16,23234.88,5,3,5,13,Champions
C00233,52,14,14751.310000000001,2,2,3,7,Potential Loyalists
C00234,220,10,6994.78,1,1,1,3,Hibernating
C00235,78,11,17251.29,2,1,4,7,Potential Loyalists
C00236,23,11,12565.84,4,1,2,7,Potential Loyalists
C00237,13,14,13260.130000000001,4,2,2,8,Potential Loyalists
C00238,23,22,25200.17,4,5,5,14,Champions
C00239,5,16,22140.44,5,3,5,13,Champions
C00240,17,15,17827.87,4,3,4,11,Loyal Customers
C00241,16,16,21283.09,4,3,5,12,Loyal Customers
C00242,59,17,17865.72,2,4,4,10,Loyal Customers
C00243,86,15,16090.779999999999,2,3,3,8,Potential Loyalists
C00244,19,16,20255.21,4,3,4,11,Loyal Customers
C00245,45,9,8980.7,3,1,1,5,At Risk
C00246,18,18,24053.41,4,4,5,13,Champions
C00247,4,17,31691.489999999998,5,4,5,14,Champions
C00248,114,10,10278.39,1,1,1,3,Hibernating
C00249,0,15,15086.83,5,3,3,11,Loyal Customers
C00250,191,23,20475.35,1,5,5,11,Loyal Customers
C00251,43,13,16880.96,3,2,3,8,Potential Loyalists
C00252,76,14,12781.519999999999,2,2,2,6,At Risk
C00253,9,15,11123.2,5,3,1,9,Potential Loyalists
C00254,10,18,17451.35,5,4,4,13,Champions
C00255,1,22,28738.97,5,5,5,15,Champions
C00256,56,19,16495.81,2,5,3,10,Loyal Customers
C00257,10,19,19281.51,5,5,4,14,Champions
C00258,272,16,19935.96,1,3,4,8,Potential Loyalists
C00259,28,15,12801.119999999999,3,3,2,8,Potential Loyalists
C00260,20,22,25076.43,4,5,5,14,Champions
C00261,40,13,10729.18,3,2,1,6,At Risk
C00262,30,20,23107.24,3,5,5,13,Champions
C00263,24,18,14632.91,4,4,3,11,Loyal Customers
C00264,27,13,9852.2,3,2,1,6,At Risk
C00265,87,19,22468.35,2,5,5,12,Loyal Customers
C00266,16,12,8026.79,4,1,1,6,At Risk
C00267,166,14,17853.15,1,2,4,7,Potential Loyalists
C00268,15,15,16592.08,4,3,3,10,Loyal Customers
C00269,23,14,8635.64,4,2,1,7,Potential Loyalists
C00270,49,16,22019.0,2,3,5,10,Loyal Customers
C00271,0,11,9780.51,5,1,1,7,Potential Loyalists
C00272,38,13,13070.33,3,2,2,7,Potential Loyalists
C00273,222,10,8442.800000000001,1,1,1,3,Hibernating
C00274,64,19,28391.059999999998,2,5,5,12,Loyal Customers
C00275,31,14,21950.88,3,2,5,10,Loyal Customers
C00276,17,15,15233.39,4,3,3,10,Loyal Customers
C00277,49,14,10237.53,2,2,1,5,At Risk
C00278,14,17,22830.06,4,4,5,13,Champions
C00279,6,20,15816.210000000001,5,5,3,13,Champions
C00280,35,17,21041.27,3,4,5,12,Loyal Customers
C00281,7,8,12411.74,5,1,2,8,Potential Loyalists
C00282,16,17,20354.329999999998,4,4,4,12,Loyal Customers
C00283,13,20,18592.010000000002,4,5,4,13,Champions
C00284,56,14,15871.55,2,2,3,7,Potential Loyalists
C00285,0,16,20085.04,5,3,4,12,Loyal Customers
C00286,105,22,23113.93,1,5,5,11,Loyal Customers
C00287,426,8,6303.530000000001,1,1,1,3,Hibernating
C00288,65,10,14046.33,2,1,2,5,At Risk
C00289,45,12,12174.460000000001,3,1,2,6,At Risk
C00290,33,30,28643.84,3,5,5,13,Champions
C00291,27,16,13199.86,3,3,2,8,Potential Loyalists
C00292,12,17,14505.1,4,4,3,11,Loyal Customers
C00293,12,25,29584.47,4,5,5,14,Champions
C00294,64,8,9021.83,2,1,1,4,Hibernating
C00295,1,16,16170.529999999999,5,3,3,11,Loyal Customers
C00296,13,15,16419.3,4,3,3,10,Loyal Customers
C00297,275,8,8958.3,1,1,1,3,Hibernating
C00298,127,13,10955.029999999999,1,2,1,4,Hibernating
C00299,2,14,15291.09,5,2,3,10,Loyal Customers
C00300,52,22,26254.73,2,5,5,12,Loyal Customers
C00301,68,13,13302.35,2,2,2,6,At Risk
C00302,100,11,10848.46,1,1,1,3,Hibernating
C00303,1,20,18769.86,5,5,4,14,Champions
C00304,7,22,22093.21,5,5,5,15,Champions
C00305,29,12,13541.289999999999,3,1,2,6,At Risk
C00306,58,7,5021.77,2,1,1,4,Hibernating
C00307,23,17,13410.529999999999,4,4,2,10,Loyal Customers
C00308,13,13,9966.97,4,2,1,7,Potential Loyalists
C00309,51,11,7672.26,2,1,1,4,Hibernating
C00310,137,14,17728.05,1,2,4,7,Potential Loyalists
C00311,20,18,17107.34,4,4,4,12,Loyal Customers
C00312,0,13,16852.82,5,2,3,10,Loyal Customers
C00313,6,15,15946.32,5,3,3,11,Loyal Customers
C00314,9,22,23881.73,5,5,5,15,Champions
C00315,7,12,11547.6,5,1,1,7,Potential Loyalists
C00316,9,19,17971.75,5,5,4,14,Champions
C00317,68,11,9030.37,2,1,1,4,Hibernating
C00318,80,16,17628.43,2,3,4,9,Potential Loyalists
C00319,8,13,14410.439999999999,5,2,3,10,Loyal Customers
C00320,15,15,14014.25,4,3,2,9,Potential Loyalists
C00321,8,18,16695.61,5,4,3,12,Loyal Customers
C00322,27,19,25810.25,3,5,5,13,Champions
C00323,34,12,11377.8,3,1,1,5,At Risk
C00324,2,14,8372.51,5,2,1,8,Potential Loyalists
C00325,36,11,10647.08,3,1,1,5,At Risk
C00326,12,19,18902.54,4,5,4,13,Champions
C00327,8,24,30899.04,5,5,5,15,Champions
C00328,13,15,15169.59,4,3,3,10,Loyal Customers
C00329,62,13,7420.07,2,2,1,5,At Risk
C00330,0,15,18608.14,5,3,4,12,Loyal Customers
C00331,24,14,16547.23,4,2,3,9,Potential Loyalists
C00332,51,15,12573.49,2,3,2,7,Potential Loyalists
C00333,10,23,27543.67,5,5,5,15,Champions
C00334,117,12,9803.369999999999,1,1,1,3,Hibernating
C00335,58,12,15798.07,2,1,3,6,At Risk
C00336,16,21,27375.95,4,5,5,14,Champions
C00337,10,18,17676.77,5,4,4,13,Champions
C00338,167,13,10781.65,1,2,1,4,Hibernating
C00339,13,13,17418.39,4,2,4,10,Loyal Customers
C00340,248,8,7515.16,1,1,1,3,Hibernating
C00341,27,13,6464.8099999999995,3,2,1,6,At Risk
C00342,24,12,7538.79,4,1,1,6,At Risk
C00343,19,15,17870.22,4,3,4,11,Loyal Customers
C00344,24,17,25857.3,4,4,5,13,Champions
C00345,51,14,11476.15,2,2,1,5,At Risk
C00346,23,9,5065.990000000001,4,1,1,6,At Risk
C00347,7,16,13343.72,5,3,2,10,Loyal Customers
C00348,78,17,16546.82,2,4,3,9,Potential Loyalists
C00349,139,9,12848.94,1,1,2,4,Hibernating
C00350,18,20,19597.010000000002,4,5,4,13,Champions
C00351,118,18,19429.24,1,4,4,9,Potential Loyalists
C00352,82,19,27438.5,2,5,5,12,Loyal Customers
C00353,5,14,13627.07,5,2,2,9,Potential Loyalists
C00354,700,6,5869.620000000001,1,1,1,3,Hibernating
C00355,11,16,22705.239999999998,5,3,5,13,Champions
C00356,29,12,12277.01,3,1,2,6,At Risk
C00357,10,16,15243.029999999999,5,3,3,11,Loyal Customers
C00358,62,12,11321.49,2,1,1,4,Hibernating
C00359,148,16,17289.33,1,3,4,8,Potential Loyalists
C00360,67,12,16083.11,2,1,3,6,At Risk
C00361,12,12,14253.75,4,1,2,7,Potential Loyalists
C00362,25,14,15194.49,4,2,3,9,Potential Loyalists
C00363,5,20,16824.37,5,5,3,13,Champions
C00364,31,16,12224.59,3,3,2,8,Potential Loyalists
C00365,25,13,11942.11,4,2,2,8,Potential Loyalists
C00366,17,14,21554.55,4,2,5,11,Loyal Customers
C00367,0,19,22359.23,5,5,5,15,Champions
C00368,46,8,7705.36,3,1,1,5,At Risk
C00369,252,12,12675.4,1,1,2,4,Hibernating
C00370,8,13,13065.11,5,2,2,9,Potential Loyalists
C00371,34,17,15187.58,3,4,3,10,Loyal Customers
C00372,23,13,16444.84,4,2,3,9,Potential Loyalists
C00373,209,9,8076.639999999999,1,1,1,3,Hibernating
C00374,319,14,10803.23,1,2,1,4,Hibernating
C00375,11,14,21522.47,5,2,5,12,Loyal Customers
C00376,76,16,13414.34,2,3,2,7,Potential Loyalists
C00377,99,15,13502.1,1,3,2,6,At Risk
C00378,43,18,17661.85,3,4,4,11,Loyal Customers
C00379,5,17,16167.66,5,4,3,12,Loyal Customers
C00380,0,17,21396.22,5,4,5,14,Champions
C00381,34,20,28583.05,3,5,5,13,Champions
C00382,153,10,14583.8,1,1,3,5,At Risk
C00383,2,19,22098.54,5,5,5,15,Champions
C00384,114,14,16374.68,1,2,3,6,At Risk
C00385,145,11,15057.52,1,1,3,5,At Risk
C00386,64,10,9741.84,2,1,1,4,Hibernating
C00387,105,8,8464.52,1,1,1,3,Hibernating
C00388,20,16,24106.91,4,3,5,12,Loyal Customers
C00389,46,13,8185.65,3,2,1,6,At Risk
C00390,143,7,5081.13,1,1,1,3,Hibernating
C00391,11,10,9052.880000000001,5,1,1,7,Potential Loyalists
C00392,44,14,8702.62,3,2,1,6,At Risk
C00393,13,17,14244.91,4,4,2,10,Loyal Customers
C00394,102,15,14344.960000000001,1,3,2,6,At Risk
C00395,77,16,20044.14,2,3,4,9,Potential Loyalists
C00396,68,8,6083.01,2,1,1,4,Hibernating
C00397,24,18,16528.14,4,4,3,11,Loyal Customers
C00398,3,15,24448.59,5,3,5,13,Champions
C00399,6,16,18116.48,5,3,4,12,Loyal Customers
C00400,39,13,16470.4,3,2,3,8,Potential Loyalists
C00401,4,18,16539.63,5,4,3,12,Loyal Customers
C00402,98,18,14300.92,1,4,2,7,Potential Loyalists
C00403,166,13,11751.34,1,2,2,5,At Risk
C00404,4,17,14134.61,5,4,2,11,Loyal Customers
C00405,139,17,15178.9,1,4,3,8,Potential Loyalists
C00406,109,17,20349.29,1,4,4,9,Potential Loyalists
C00407,22,19,21007.77,4,5,5,14,Champions
C00408,35,20,16836.26,3,5,3,11,Loyal Customers
C00409,104,8,14120.61,1,1,2,4,Hibernating
C00410,66,10,13714.77,2,1,2,5,At Risk
C00411,7,19,12603.49,5,5,2,12,Loyal Customers
C00412,111,22,25957.42,1,5,5,11,Loyal Customers
C00413,98,13,18923.18,1,2,4,7,Potential Loyalists
C00414,61,13,14068.28,2,2,2,6,At Risk
C00415,47,17,15297.1,3,4,3,10,Loyal Customers
C00416,87,9,10110.24,2,1,1,4,Hibernating
C00417,82,15,14420.849999999999,2,3,3,8,Potential Loyalists
C00418,213,7,6677.96,1,1,1,3,Hibernating
C00419,106,19,15308.310000000001,1,5,3,9,Potential Loyalists
C00420,21,18,23300.8,4,4,5,13,Champions
C00421,57,13,19845.07,2,2,4,8,Potential Loyalists
C00422,58,16,15978.31,2,3,3,8,Potential Loyalists
C00423,7,15,12771.119999999999,5,3,2,10,Loyal Customers
C00424,22,18,15064.369999999999,4,4,3,11,Loyal Customers
C00425,7,17,18263.43,5,4,4,13,Champions
C00426,27,15,13654.51,3,3,2,8,Potential Loyalists
C00427,9,27,20193.68,5,5,4,14,Champions
C00428,7,12,8856.46,5,1,1,7,Potential Loyalists
C00429,84,14,12102.78,2,2,2,6,At Risk
C00430,27,12,10872.36,3,1,1,5,At Risk
C00431,26,13,14204.96,3,2,2,7,Potential Loyalists
C00432,13,22,18138.57,4,5,4,13,Champions
C00433,52,16,16553.83,2,3,3,8,Potential Loyalists
C00434,31,13,12319.369999999999,3,2,2,7,Potential Loyalists
C00435,4,21,21322.81,5,5,5,15,Champions
C00436,4,15,12039.58,5,3,2,10,Loyal Customers
C00437,186,12,11740.68,1,1,2,4,Hibernating
C00438,7,18,20877.3,5,4,5,14,Champions
C00439,118,12,16874.489999999998,1,1,3,5,At Risk
C00440,35,10,6852.61,3,1,1,5,At Risk
C00441,100,11,5415.48,1,1,1,3,Hibernating
C00442,133,7,6306.6,1,1,1,3,Hibernating
C00443,69,20,20161.32,2,5,4,11,Loyal Customers
C00444,18,12,12216.95,4,1,2,7,Potential Loyalists
C00445,21,17,17067.76,4,4,4,12,Loyal Customers
C00446,98,14,23075.32,1,2,5,8,Potential Loyalists
C00447,302,9,7077.42,1,1,1,3,Hibernating
C00448,58,18,21464.43,2,4,5,11,Loyal Customers
C00449,30,23,20504.29,3,5,5,13,Champions
C00450,112,20,16318.220000000001,1,5,3,9,Potential Loyalists
C00451,1,18,14780.16,5,4,3,12,Loyal Customers
C00452,281,14,11692.96,1,2,2,5,At Risk
C00453,19,10,13086.16,4,1,2,7,Potential Loyalists
C00454,24,21,23588.23,4,5,5,14,Champions
C00455,68,15,24611.72,2,3,5,10,Loyal Customers
C00456,80,7,15543.76,2,1,3,6,At Risk
C00457,155,8,6937.72,1,1,1,3,Hibernating
C00458,56,17,19221.75,2,4,4,10,Loyal Customers
C00459,0,18,15620.22,5,4,3,12,Loyal Customers
C00460,19,22,22374.1,4,5,5,14,Champions
C00461,4,15,16483.36,5,3,3,11,Loyal Customers
C00462,58,14,10487.86,2,2,1,5,At Risk
C00463,53,10,11118.72,2,1,1,4,Hibernating
C00464,153,25,21927.21,1,5,5,11,Loyal Customers
C00465,4,16,19849.16,5,3,4,12,Loyal Customers
C00466,214,13,10768.76,1,2,1,4,Hibernating
C00467,28,17,19630.07,3,4,4,11,Loyal Customers
C00468,48,16,18479.15,2,3,4,9,Potential Loyalists
C00469,21,12,11848.63,4,1,2,7,Potential Loyalists
C00470,24,25,20720.36,4,5,5,14,Champions
C00471,97,14,15111.300000000001,1,2,3,6,At Risk
C00472,215,11,10162.42,1,1,1,3,Hibernating
C00473,6,12,11456.369999999999,5,1,1,7,Potential Loyalists
C00474,77,13,15058.72,2,2,3,7,Potential Loyalists
C00475,175,10,10495.84,1,1,1,3,Hibernating
C00476,0,13,12447.42,5,2,2,9,Potential Loyalists
C00477,34,15,18809.54,3,3,4,10,Loyal Customers
C00478,124,13,10428.24,1,2,1,4,Hibernating
C00479,171,14,14275.26,1,2,2,5,At Risk
C00480,389,10,9142.0,1,1,1,3,Hibernating
C00481,79,13,15540.47,2,2,3,7,Potential Loyalists
C00482,5,12,9659.57,5,1,1,7,Potential Loyalists
C00483,12,19,19610.9,4,5,4,13,Champions
C00484,6,13,12959.95,5,2,2,9,Potential Loyalists
C00485,16,12,18439.01,4,1,4,9,Potential Loyalists
C00486,13,23,27323.010000000002,4,5,5,14,Champions
C00487,20,19,21268.1,4,5,5,14,Champions
C00488,4,18,20416.53,5,4,5,14,Champions
C00489,0,18,19811.94,5,4,4,13,Champions
C00490,143,14,19527.239999999998,1,2,4,7,Potential Loyalists
C00491,1,14,25691.6,5,2,5,12,Loyal Customers
C00492,22,19,13578.53,4,5,2,11,Loyal Customers
C00493,9,16,16843.69,5,3,3,11,Loyal Customers
C00494,0,18,13877.58,5,4,2,11,Loyal Customers
