customer_id,churn_probability,churn_risk_label,segment
C00376,0.008165386210988978,Low Risk,Potential Loyalists
C00377,1.0,High Risk,At Risk
C00378,0.0,,Loyal Customers
C00379,0.0,,Loyal Customers
C00380,0.0,,Champions
C00381,0.0,,Champions
C00382,1.0,High Risk,At Risk
C00383,0.0,,Champions
C00384,1.0,High Risk,At Risk
C00385,1.0,High Risk,At Risk
C00386,0.0,,Hibernating
C00387,1.0,High Risk,Hibernating
C00388,0.0,,Loyal Customers
C00389,0.0,,At Risk
C00390,1.0,High Risk,Hibernating
C00391,0.0,,Potential Loyalists
C00392,0.0,,At Risk
C00393,0.0,,Loyal Customers
C00394,1.0,High Risk,At Risk
C00395,0.009573235550565554,Low Risk,Potential Loyalists
C00396,0.0,,Hibernating
C00397,0.0,,Loyal Customers
C00398,0.0,,Champions
C00399,0.0,,Loyal Customers
C00400,0.0,,Potential Loyalists
C00401,0.0,,Loyal Customers
C00402,0.9964583153472043,High Risk,Potential Loyalists
C00403,1.0,High Risk,At Risk
C00404,0.0,,Loyal Customers
C00405,1.0,High Risk,Potential Loyalists
C00406,0.9995732355505657,High Risk,Potential Loyalists
C00407,0.0,,Champions
C00408,0.0,,Loyal Customers
C00409,1.0,High Risk,Hibernating
C00410,0.0,,At Risk
C00411,0.0,,Loyal Customers
C00412,1.0,High Risk,Loyal Customers
C00413,1.0,High Risk,Potential Loyalists
C00414,0.0,,At Risk
C00415,0.0,,Loyal Customers
C00416,0.0050235036038859295,Low Risk,Hibernating
C00417,0.0,,Potential Loyalists
C00418,1.0,High Risk,Hibernating
C00419,1.0,High Risk,Potential Loyalists
C00420,0.0,,Champions
C00421,0.0,,Potential Loyalists
C00422,0.0,,Potential Loyalists
C00423,0.0,,Loyal Customers
C00424,0.0,,Loyal Customers
C00425,0.0,,Champions
C00426,0.0,,Potential Loyalists
C00427,0.0,,Champions
C00428,0.0,,Potential Loyalists
C00429,0.0,,At Risk
C00430,0.0,,At Risk
C00431,0.0,,Potential Loyalists
C00432,0.0,,Champions
C00433,0.0,,Potential Loyalists
C00434,0.0,,Potential Loyalists
C00435,0.0,,Champions
C00436,0.0,,Loyal Customers
C00437,1.0,High Risk,Hibernating
C00438,0.0,,Champions
C00439,1.0,High Risk,At Risk
C00440,0.0,,At Risk
C00441,1.0,High Risk,Hibernating
C00442,1.0,High Risk,Hibernating
C00443,0.0,,Loyal Customers
C00444,0.0,,Potential Loyalists
C00445,0.0,,Loyal Customers
C00446,1.0,High Risk,Potential Loyalists
C00447,1.0,High Risk,Hibernating
C00448,0.0,,Loyal Customers
C00449,0.0,,Champions
C00450,1.0,High Risk,Potential Loyalists
C00451,0.0,,Loyal Customers
C00452,1.0,High Risk,At Risk
C00453,0.0,,Potential Loyalists
C00454,0.0,,Champions
C00455,0.0,,Loyal Customers
C00456,0.01,Low Risk,At Risk
C00457,1.0,High Risk,Hibernating
C00458,0.0,,Loyal Customers
C00459,0.0,,Loyal Customers
C00460,0.0,,Champions
C00461,0.0,,Loyal Customers
C00462,0.0,,At Risk
C00463,0.004551606644266718,Low Risk,Hibernating
C00464,1.0,High Risk,Loyal Customers
C00465,0.0,,Loyal Customers
C00466,1.0,High Risk,Hibernating
C00467,0.0,,Loyal Customers
C00468,0.00461795258511125,Low Risk,Potential Loyalists
C00469,0.0,,Potential Loyalists
C00470,0.0,,Champions
C00471,1.0,High Risk,At Risk
C00472,1.0,High Risk,Hibernating
C00473,0.0,,Potential Loyalists
C00474,0.0,,Potential Loyalists
C00475,1.0,High Risk,Hibernating
C00476,0.0,,Potential Loyalists
C00477,0.0,,Loyal Customers
C00478,1.0,High Risk,Hibernating
C00479,1.0,High Risk,At Risk
C00480,1.0,High Risk,Hibernating
C00481,0.0,,Potential Loyalists
C00482,0.0,,Potential Loyalists
C00483,0.0,,Champions
C00484,0.0,,Potential Loyalists
C00485,0.0,,Potential Loyalists
C00486,0.0,,Champions
C00487,0.0,,Champions
C00488,0.0,,Champions
C00489,0.0,,Champions
C00490,1.0,High Risk,Potential Loyalists
C00491,0.0,,Loyal Customers
C00492,0.0,,Loyal Customers
C00493,0.0,,Loyal Customers
C00494,0.0,,Loyal Customers
C00495,0.0,,Potential Loyalists
C00496,0.0,,Potential Loyalists
C00497,0.0,,At Risk
C00498,0.0,,Potential Loyalists
C00499,0.0,,Loyal Customers
C00500,0.99,High Risk,Hibernating
C00501,1.0,High Risk,At Risk
C00502,0.991752678766674,High Risk,Hibernating
C00503,0.0,,Hibernating
C00504,0.0,,Champions
C00505,0.0,,At Risk
C00506,1.0,High Risk,Potential Loyalists
C00507,0.0,,Potential Loyalists
C00508,0.0,,Loyal Customers
C00509,0.0,,Potential Loyalists
C00510,0.0,,Champions
C00511,0.0,,Potential Loyalists
C00512,0.0,,Potential Loyalists
C00513,0.0,,Champions
C00514,1.0,High Risk,Hibernating
C00515,0.0,,Champions
C00516,0.0,,Loyal Customers
C00517,0.0,,Loyal Customers
C00518,0.0,,Champions
C00519,0.0,,At Risk
C00520,0.0,,Potential Loyalists
C00521,0.0,,Champions
C00522,1.0,High Risk,At Risk
C00523,0.0,,Loyal Customers
C00524,1.0,High Risk,Hibernating
C00525,0.0,,Loyal Customers
C00526,0.0,,Champions
C00527,0.0,,Loyal Customers
C00528,0.0,,At Risk
C00529,0.0,,At Risk
C00530,0.0,,Potential Loyalists
C00531,0.0,,Loyal Customers
C00532,0.9995732355505657,High Risk,Potential Loyalists
C00533,0.0,,Potential Loyalists
C00534,0.0,,At Risk
C00535,0.0,,Potential Loyalists
C00536,0.0,,Loyal Customers
C00537,0.0,,Potential Loyalists
C00538,1.0,High Risk,Potential Loyalists
C00539,0.0,,At Risk
C00540,0.0,,Loyal Customers
C00541,0.0,,At Risk
C00542,0.0,,Loyal Customers
C00543,0.0,,At Risk
C00544,0.0,,Champions
C00545,0.0,,Loyal Customers
C00546,0.0,,Potential Loyalists
C00547,0.0,,Loyal Customers
C00548,0.0,,Potential Loyalists
C00549,1.0,High Risk,Hibernating
C00550,0.0,,Loyal Customers
C00551,0.0,,Potential Loyalists
C00552,0.0,,Potential Loyalists
C00553,0.0,,Potential Loyalists
C00554,0.0,,Champions
C00555,0.0,,Champions
C00556,0.99,High Risk,Hibernating
C00557,0.0,,Champions
C00558,0.0,,Potential Loyalists
C00559,1.0,High Risk,Hibernating
C00560,0.0,,Potential Loyalists
C00561,0.0,,Loyal Customers
C00562,1.0,High Risk,At Risk
C00563,1.0,High Risk,Loyal Customers
C00564,0.0,,Potential Loyalists
C00565,1.0,High Risk,Potential Loyalists
C00566,0.0,,Loyal Customers
C00567,0.0,,Loyal Customers
C00568,0.0,,Champions
C00569,1.0,High Risk,Hibernating
C00570,0.0,,Champions
C00571,1.0,High Risk,Potential Loyalists
C00572,0.0,,Champions
C00573,0.0,,Champions
C00574,0.0,,Potential Loyalists
C00575,0.0,,At Risk
C00576,1.0,High Risk,Hibernating
C00577,0.0,,Champions
C00578,0.0,,Potential Loyalists
C00579,0.0,,Potential Loyalists
C00580,0.0,,Loyal Customers
C00581,0.0,,Potential Loyalists
C00582,0.0,,Loyal Customers
C00583,0.0,,Champions
C00584,0.0,,Loyal Customers
C00585,0.0,,Champions
C00586,0.0,,Champions
C00587,0.0,,Champions
C00588,0.0,,Loyal Customers
C00589,0.0,,Loyal Customers
C00590,0.0,,Potential Loyalists
C00591,0.0,,Loyal Customers
C00592,0.0,,At Risk
C00593,0.0,,Potential Loyalists
C00594,0.0,,Champions
C00595,0.0,,Champions
C00596,1.0,High Risk,Potential Loyalists
C00597,0.0,,Champions
C00598,0.0,,Potential Loyalists
C00599,0.0,,Champions
C00600,0.0,,Loyal Customers
C00601,0.0,,Potential Loyalists
C00602,0.0,,Potential Loyalists
C00603,0.0,,At Risk
C00604,0.0,,Potential Loyalists
C00605,0.0,,Potential Loyalists
C00606,0.0,,Champions
C00607,0.0,,Potential Loyalists
C00608,0.0,,Champions
C00609,0.0,,Champions
C00610,0.0,,Champions
C00611,0.0,,Loyal Customers
C00612,0.0,,Champions
C00613,0.0,,Potential Loyalists
C00614,0.0,,Loyal Customers
C00615,0.0,,Loyal Customers
C00616,0.0,,Champions
C00617,0.0,,Loyal Customers
C00618,0.0,,Potential Loyalists
C00619,0.0,,At Risk
C00620,0.0,,Potential Loyalists
C00621,1.0,High Risk,Hibernating
C00622,1.0,High Risk,Hibernating
C00623,0.0,,Hibernating
C00624,0.0,,Champions
C00625,0.0,,At Risk
C00626,0.0,,Loyal Customers
C00627,0.0,,Potential Loyalists
C00628,0.0,,Loyal Customers
C00629,0.0,,Potential Loyalists
C00630,1.0,High Risk,At Risk
C00631,1.0,High Risk,Hibernating
C00632,0.0,,Potential Loyalists
C00633,0.0,,Loyal Customers
C00634,0.0,,Champions
C00635,0.0,,At Risk
C00636,1.0,High Risk,Potential Loyalists
C00637,0.0,,Champions
C00638,0.0,,Champions
C00639,0.0,,Champions
C00640,0.0,,Potential Loyalists
C00641,0.0,,At Risk
C00642,0.0,,Potential Loyalists
C00643,0.0,,Loyal Customers
C00644,0.0,,Loyal Customers
C00645,0.0,,Champions
C00646,1.0,High Risk,Hibernating
C00647,0.0,,Potential Loyalists
C00648,1.0,High Risk,Potential Loyalists
C00649,1.0,High Risk,Hibernating
C00650,0.0,,At Risk
C00651,0.0,,Potential Loyalists
C00652,0.0,,At Risk
C00653,0.0,,Loyal Customers
C00654,0.9995732355505657,High Risk,Potential Loyalists
C00655,0.0,,Champions
C00656,1.0,High Risk,Hibernating
C00657,0.0,,Potential Loyalists
C00658,0.0,,Loyal Customers
C00659,1.0,High Risk,Potential Loyalists
C00660,0.0,,Champions
C00661,1.0,High Risk,Loyal Customers
C00662,0.0,,Potential Loyalists
C00663,0.0,,Potential Loyalists
C00664,0.0,,Loyal Customers
C00665,0.0,,Loyal Customers
C00666,0.0,,Loyal Customers
C00667,0.0,,At Risk
C00668,0.0,,Potential Loyalists
C00669,0.0,,Champions
C00670,0.9895751102481526,High Risk,Hibernating
C00671,0.0,,Champions
C00672,0.0,,Potential Loyalists
C00673,0.0,,Potential Loyalists
C00674,0.0,,Hibernating
C00675,0.0,,Loyal Customers
C00676,1.0,High Risk,Hibernating
C00677,0.0,,Hibernating
C00678,0.0,,Potential Loyalists
C00679,0.0,,Loyal Customers
C00680,0.0017526787666739551,Low Risk,Hibernating
C00681,1.0,High Risk,Hibernating
C00682,1.0,High Risk,Hibernating
C00683,0.0,,Champions
C00684,0.0,,At Risk
C00685,0.00461795258511125,Low Risk,Potential Loyalists
C00686,0.0,,At Risk
C00687,0.0,,Loyal Customers
C00688,0.0,,Hibernating
C00689,0.00461795258511125,Low Risk,Potential Loyalists
C00690,1.0,High Risk,Potential Loyalists
C00691,0.0,,At Risk
C00692,0.9995732355505657,High Risk,Potential Loyalists
C00693,0.0,,Loyal Customers
C00694,0.0,,Champions
C00695,0.0,,At Risk
C00696,0.0,,Loyal Customers
C00697,1.0,High Risk,Hibernating
C00698,0.0,,Champions
C00699,0.0,,At Risk
C00700,0.0,,At Risk
C00701,0.0,,Potential Loyalists
C00702,0.0,,Potential Loyalists
C00703,1.0,High Risk,At Risk
C00704,0.0,,Potential Loyalists
C00705,0.998165386210989,High Risk,At Risk
C00706,0.006458315347204238,Low Risk,Potential Loyalists
C00707,0.0,,At Risk
C00708,0.0,,Loyal Customers
C00709,0.0,,At Risk
C00710,0.0,,Loyal Customers
C00711,0.0,,Loyal Customers
C00712,0.0,,Potential Loyalists
C00713,0.008165386210988978,Low Risk,Potential Loyalists
C00714,0.0,,Champions
C00715,0.0,,Champions
C00716,0.0,,Loyal Customers
C00717,0.0,,Potential Loyalists
C00718,0.0,,Potential Loyalists
C00719,0.0,,Loyal Customers
C00720,0.0,,Champions
C00721,0.0,,Potential Loyalists
C00722,0.0,,Champions
C00723,0.0,,Potential Loyalists
C00724,0.0,,Loyal Customers
C00725,1.0,High Risk,At Risk
C00726,0.0,,At Risk
C00727,0.0,,Loyal Customers
C00728,1.0,High Risk,At Risk
C00729,0.0,,Loyal Customers
C00730,0.998165386210989,High Risk,At Risk
C00731,0.0,,Champions
C00732,0.0,,Loyal Customers
C00733,0.0,,Loyal Customers
C00734,0.0,,Champions
C00735,0.0,,Loyal Customers
C00736,0.0,,Loyal Customers
C00737,0.0,,Loyal Customers
C00738,0.0,,Potential Loyalists
C00739,1.0,High Risk,Potential Loyalists
C00740,0.0,,At Risk
C00741,0.0,,Loyal Customers
C00742,1.0,High Risk,Hibernating
C00743,0.0,,Potential Loyalists
C00744,1.0,High Risk,Hibernating
C00745,0.0,,Loyal Customers
C00746,0.0,,At Risk
C00747,0.0,,Potential Loyalists
C00748,0.0,,Hibernating
C00749,0.0,,Loyal Customers
C00750,0.0,,Loyal Customers
C00751,0.9995732355505657,High Risk,Potential Loyalists
C00752,0.0,,Potential Loyalists
C00753,0.0,,Loyal Customers
C00754,1.0,High Risk,Hibernating
C00755,0.0,,At Risk
C00756,1.0,High Risk,Hibernating
C00757,0.0,,Potential Loyalists
C00758,0.0,,At Risk
C00759,0.0,,Potential Loyalists
C00760,0.0,,At Risk
C00761,0.0,,Champions
C00762,0.0,,Loyal Customers
C00763,0.0,,Loyal Customers
C00764,0.0,,Champions
C00765,0.0,,At Risk
C00766,0.0,,Potential Loyalists
C00767,0.0,,At Risk
C00768,0.0,,Potential Loyalists
C00769,0.0,,Potential Loyalists
C00770,1.0,High Risk,Loyal Customers
C00771,0.0,,Loyal Customers
C00772,0.0,,Champions
C00773,1.0,High Risk,Potential Loyalists
C00774,0.0,,Loyal Customers
C00775,1.0,High Risk,Potential Loyalists
C00776,1.0,High Risk,Loyal Customers
C00777,0.0,,At Risk
C00778,0.0,,At Risk
C00779,0.0,,Loyal Customers
C00780,0.0,,Potential Loyalists
C00781,0.0,,Champions
C00782,0.0,,Potential Loyalists
C00783,0.0,,Champions
C00784,0.0,,Champions
C00785,0.0,,Loyal Customers
C00786,0.0,,At Risk
C00787,0.0,,At Risk
C00788,0.0,,Loyal Customers
C00789,0.0,,Loyal Customers
C00790,0.0,,Loyal Customers
C00791,0.0,,Potential Loyalists
C00792,0.0,,Potential Loyalists
C00793,0.00461795258511125,Low Risk,Potential Loyalists
C00794,0.0,,Potential Loyalists
C00795,0.0,,Potential Loyalists
C00796,1.0,High Risk,Potential Loyalists
C00797,0.0,,Loyal Customers
C00798,0.0,,Potential Loyalists
C00799,0.0,,Loyal Customers
C00800,1.0,High Risk,At Risk
C00801,0.0,,At Risk
C00802,0.0,,Champions
C00803,1.0,High Risk,At Risk
C00804,1.0,High Risk,Hibernating
C00805,0.0,,Loyal Customers
C00806,0.0,,Loyal Customers
C00807,0.0,,Loyal Customers
C00808,0.0,,Loyal Customers
C00809,0.0,,Loyal Customers
C00810,0.0,,Champions
C00811,0.0,,Champions
C00812,0.0,,Champions
C00813,1.0,High Risk,Hibernating
C00814,0.0017526787666739551,Low Risk,Hibernating
C00815,1.0,High Risk,Potential Loyalists
C00816,0.0,,At Risk
